"Label","Entry time (UTC+1)","Symbol","Quantity","Volume","Type","Entry price","Broker commission","Swaps","Closing price","Closing time (UTC+1)","Net $","Pips","Gross $","Balance $","ID"
"LONDON_1B1S","01/08/2019 14:50:43.720","US30","0.90 Lots","0.90 Indices","Buy","26963.2","0.00","0.00","27086.2","01/08/2019 15:48:40.466","110.70","123","110.70","4 110.70","2"
"RRL","01/08/2019 17:30:01.394","US30","0.30 Lots","0.30 Indices","Buy","27114.1","0.00","0.00","27051.9","01/08/2019 18:27:17.957","-18.66","-62.2","-18.66","4 073.08","6"
"RRL","01/08/2019 17:35:00.614","US30","0.30 Lots","0.30 Indices","Buy","27125.1","0.00","0.00","27061.9","01/08/2019 18:27:02.879","-18.96","-63.2","-18.96","4 091.74","5"
"RRL","01/08/2019 18:40:00.104","US30","0.70 Lots","0.70 Indices","Sell","26790.4","0.00","0.00","26667.0","01/08/2019 18:54:27.458","86.38","123.4","86.38","4 159.46","9"
"RRL","01/08/2019 18:45:00.254","US30","0.70 Lots","0.70 Indices","Sell","26751.4","0.00","0.00","26627.5","01/08/2019 19:12:03.296","86.73","123.9","86.73","4 246.19","10"
"LONDON_1B1S","02/08/2019 15:30:00.129","US30","0.80 Lots","0.80 Indices","Sell","26397.2","0.00","0.00","26273.3","02/08/2019 15:52:11.381","99.12","123.9","99.12","4 345.31","12"
"LONDON_1B1S","06/08/2019 14:36:03.681","US30","1.00 Lots","1 Indices","Buy","25906.2","0.00","0.00","25844.6","06/08/2019 14:47:04.741","-61.60","-61.6","-61.60","4 283.71","14"
"LONDON_1B1S","08/08/2019 14:35:01.156","US30","1.00 Lots","1 Indices","Buy","26089.3","0.00","0.00","26027.7","08/08/2019 14:51:26.078","-61.60","-61.6","-61.60","4 222.11","16"
"RRL","08/08/2019 17:50:00.581","US30","0.30 Lots","0.30 Indices","Buy","26319.1","0.00","0.00","26366.7","08/08/2019 20:55:00.115","14.28","47.6","14.28","4 217.91","20"
"RRL","08/08/2019 18:10:00.064","US30","0.30 Lots","0.30 Indices","Buy","26323.1","0.00","0.00","26261.5","08/08/2019 19:49:48.748","-18.48","-61.6","-18.48","4 203.63","19"
"LONDON_1B1S","09/08/2019 14:35:00.401","US30","1.00 Lots","1 Indices","Buy","26346.6","0.00","0.00","26285.0","09/08/2019 14:50:39.506","-61.60","-61.6","-61.60","4 156.31","22"
"RRL","12/08/2019 18:50:00.104","US30","0.80 Lots","0.80 Indices","Sell","25975.9","0.00","0.00","25851.5","12/08/2019 19:43:02.890","99.52","124.4","99.52","4 356.15","26"
"RRL","12/08/2019 18:55:00.378","US30","0.80 Lots","0.80 Indices","Sell","25977.9","0.00","0.00","25852.5","12/08/2019 19:43:02.666","100.32","125.4","100.32","4 256.63","25"
"LONDON_1B1S","13/08/2019 14:36:32.922","US30","1.00 Lots","1 Indices","Buy","25917.7","0.00","0.00","26041.6","13/08/2019 14:46:08.029","123.90","123.9","123.90","4 480.05","28"
"LONDON_1B1S","16/08/2019 15:42:43.015","US30","1.00 Lots","1 Indices","Buy","25850.1","0.00","0.00","25908.6","16/08/2019 20:55:00.115","58.50","58.5","58.50","4 538.55","32"
"RRL","16/08/2019 16:30:00.150","US30","0.30 Lots","0.30 Indices","Buy","25849.1","0.00","0.00","25908.6","16/08/2019 20:55:00.115","17.85","59.5","17.85","4 556.40","33"
"RRL","16/08/2019 16:35:00.318","US30","0.30 Lots","0.30 Indices","Buy","25858.1","0.00","0.00","25908.6","16/08/2019 20:55:00.115","15.15","50.5","15.15","4 571.55","34"
"LONDON_1B1S","20/08/2019 14:35:26.611","US30","0.80 Lots","0.80 Indices","Sell","26075.5","0.00","0.00","26137.5","20/08/2019 16:02:48.794","-49.60","-62","-49.60","4 521.95","36"
"LONDON_1B1S","22/08/2019 14:35:01.745","US30","1.10 Lots","1.10 Indices","Buy","26320.1","0.00","0.00","26258.1","22/08/2019 15:26:37.054","-68.20","-62","-68.20","4 453.75","38"
"LONDON_1B1S","23/08/2019 16:02:10.789","US30","0.80 Lots","0.80 Indices","Sell","26044.2","0.00","0.00","26105.8","23/08/2019 16:04:12.888","-49.28","-61.6","-49.28","4 404.47","40"
"RRL","23/08/2019 18:25:00.331","US30","0.80 Lots","0.80 Indices","Sell","25715.1","0.00","0.00","25776.7","23/08/2019 18:47:14.934","-49.28","-61.6","-49.28","4 355.19","43"
"RRL","23/08/2019 18:30:00.343","US30","0.80 Lots","0.80 Indices","Sell","25722.1","0.00","0.00","25784.2","23/08/2019 18:47:39.822","-49.68","-62.1","-49.68","4 305.51","44"
"LONDON_1B1S","29/08/2019 14:37:00.629","US30","1.00 Lots","1 Indices","Buy","26328.3","0.00","0.00","26266.7","29/08/2019 15:36:46.400","-61.60","-61.6","-61.60","4 243.91","46"
"RRL","29/08/2019 18:05:01.948","US30","0.30 Lots","0.30 Indices","Buy","26388.6","0.00","0.00","26365.0","29/08/2019 20:55:00.077","-7.08","-23.6","-7.08","4 236.83","49"
"RRL","29/08/2019 18:10:00.346","US30","0.30 Lots","0.30 Indices","Buy","26380.1","0.00","0.00","26365.0","29/08/2019 20:55:00.077","-4.53","-15.1","-4.53","4 232.30","50"
"LONDON_1B1S","30/08/2019 16:13:20.411","US30","0.80 Lots","0.80 Indices","Sell","26340.6","0.00","0.00","26402.5","30/08/2019 16:49:33.272","-49.52","-61.9","-49.52","4 182.78","52"
"LONDON_1B1S","03/09/2019 16:30:30.539","US30","0.10 Lots","0.10 Indices","Sell","26077.1","0.00","0.00","26139.1","03/09/2019 20:52:00.660","-6.20","-62","-6.20","4 176.58","54"
"RRL","01/10/2019 18:20:00.338","US30","0.60 Lots","0.60 Indices","Sell","26610.1","0.00","0.00","26600.2","01/10/2019 20:55:00.115","5.94","9.9","5.94","4 182.52","57"
"RRL","01/10/2019 18:25:00.131","US30","0.60 Lots","0.60 Indices","Sell","26600.1","0.00","0.00","26600.2","01/10/2019 20:55:00.115","-0.06","-0.1","-0.06","4 182.46","58"
"LONDON_1B1S","03/10/2019 15:36:16.080","US30","0.10 Lots","0.10 Indices","Sell","25973.7","0.00","0.00","26035.4","03/10/2019 16:02:41.991","-6.17","-61.7","-6.17","4 176.29","60"
"RRL","03/10/2019 17:35:00.379","US30","0.30 Lots","0.30 Indices","Buy","26103.4","0.00","0.00","26142.4","03/10/2019 20:55:00.115","11.70","39","11.70","4 187.99","63"
"RRL","03/10/2019 17:40:00.618","US30","0.30 Lots","0.30 Indices","Buy","26119.4","0.00","0.00","26142.4","03/10/2019 20:55:00.115","6.90","23","6.90","4 194.89","64"
"RRL","04/10/2019 16:35:01.550","US30","0.30 Lots","0.30 Indices","Buy","26423.2","0.00","0.00","26546.0","04/10/2019 20:37:58.790","36.84","122.8","36.84","4 231.73","67"
"RRL","04/10/2019 17:30:00.297","US30","0.30 Lots","0.30 Indices","Buy","26429.2","0.00","0.00","26552.0","04/10/2019 20:40:42.723","36.84","122.8","36.84","4 268.57","68"
"RRL","07/10/2019 17:30:00.362","US30","0.30 Lots","0.30 Indices","Buy","26558.3","0.00","0.00","26494.3","07/10/2019 19:50:46.381","-19.20","-64","-19.20","4 249.37","71"
"RRL","07/10/2019 18:25:00.361","US30","0.30 Lots","0.30 Indices","Buy","26543.9","0.00","0.00","26482.0","07/10/2019 20:51:40.142","-18.57","-61.9","-18.57","4 230.80","72"
"RRL","08/10/2019 17:55:00.114","US30","0.30 Lots","0.30 Indices","Buy","26323.2","0.00","0.00","26257.6","08/10/2019 19:57:35.332","-19.68","-65.6","-19.68","4 192.64","76"
"RRL","08/10/2019 18:30:00.591","US30","0.30 Lots","0.30 Indices","Buy","26339.7","0.00","0.00","26278.1","08/10/2019 19:57:34.094","-18.48","-61.6","-18.48","4 212.32","75"
"RRL","11/10/2019 16:45:00.173","US30","0.30 Lots","0.30 Indices","Buy","26945.8","0.00","0.00","26883.7","11/10/2019 17:02:46.303","-18.63","-62.1","-18.63","4 174.01","79"
"RRL","11/10/2019 16:50:00.164","US30","0.30 Lots","0.30 Indices","Buy","26930.8","0.00","0.00","26869.2","11/10/2019 17:15:29.669","-18.48","-61.6","-18.48","4 155.53","80"
"RRL","14/10/2019 17:30:00.137","US30","0.30 Lots","0.30 Indices","Buy","26830.8","0.00","0.00","26808.5","14/10/2019 20:55:00.115","-6.69","-22.3","-6.69","4 148.84","83"
"RRL","14/10/2019 18:00:00.350","US30","0.30 Lots","0.30 Indices","Buy","26833.2","0.00","0.00","26808.5","14/10/2019 20:55:00.115","-7.41","-24.7","-7.41","4 141.43","84"
"RRL","15/10/2019 16:35:00.248","US30","0.30 Lots","0.30 Indices","Buy","27054.2","0.00","0.00","27033.1","15/10/2019 20:55:00.115","-6.33","-21.1","-6.33","4 135.10","87"
"RRL","15/10/2019 16:40:00.970","US30","0.30 Lots","0.30 Indices","Buy","27043.2","0.00","0.00","27033.1","15/10/2019 20:55:00.115","-3.03","-10.1","-3.03","4 132.07","88"
"RRL","22/10/2019 18:55:00.927","US30","0.30 Lots","0.30 Indices","Buy","26912.0","0.00","0.00","26848.4","22/10/2019 19:51:13.077","-19.08","-63.6","-19.08","4 094.21","92"
"RRL","22/10/2019 19:00:00.659","US30","0.30 Lots","0.30 Indices","Buy","26920.5","0.00","0.00","26857.9","22/10/2019 19:48:43.901","-18.78","-62.6","-18.78","4 113.29","91"
"RRL","25/10/2019 18:00:01.594","US30","0.30 Lots","0.30 Indices","Buy","26981.8","0.00","0.00","26956.4","25/10/2019 20:55:00.115","-7.62","-25.4","-7.62","4 086.59","95"
"RRL","25/10/2019 18:05:00.920","US30","0.30 Lots","0.30 Indices","Buy","26981.8","0.00","0.00","26956.4","25/10/2019 20:55:00.115","-7.62","-25.4","-7.62","4 078.97","96"
"LONDON_1B1S","31/10/2019 16:58:31.892","US30","0.10 Lots","0.10 Indices","Sell","27020.4","0.00","0.00","26990.9","31/10/2019 20:55:00.115","2.95","29.5","2.95","4 081.92","98"
"LONDON_1B1S","01/11/2019 15:05:00.475","US30","1.30 Lots","1.30 Indices","Buy","27256.6","0.00","0.00","27323.4","01/11/2019 20:55:00.115","86.84","66.8","86.84","4 168.76","101"
"RRL","01/11/2019 19:00:00.338","US30","0.60 Lots","0.60 Indices","Buy","27309.0","0.00","0.00","27323.4","01/11/2019 20:55:00.115","8.64","14.4","8.64","4 177.40","102"
"LONDON_1B1S","05/11/2019 16:01:08.670","US30","1.30 Lots","1.30 Indices","Buy","27548.5","0.00","0.00","27484.6","05/11/2019 16:11:36.142","-83.07","-63.9","-83.07","4 094.33","104"
"LONDON_1B1S","07/11/2019 15:35:00.187","US30","1.30 Lots","1.30 Indices","Buy","27646.3","0.00","0.00","27771.1","07/11/2019 17:59:46.175","162.24","124.8","162.24","4 256.57","106"
"RRL","07/11/2019 18:00:00.207","US30","0.60 Lots","0.60 Indices","Buy","27774.7","0.00","0.00","27683.8","07/11/2019 20:43:48.134","-54.54","-90.9","-54.54","4 202.03","109"
"RRL","07/11/2019 18:05:00.129","US30","0.60 Lots","0.60 Indices","Buy","27741.7","0.00","0.00","27676.3","07/11/2019 20:43:52.126","-39.24","-65.4","-39.24","4 162.79","110"
"LONDON_1B1S","08/11/2019 16:30:00.540","US30","1.00 Lots","1 Indices","Sell","27622.3","0.00","0.00","27657.9","08/11/2019 21:55:00.115","-35.60","-35.6","-35.60","4 127.19","112"
"LONDON_1B1S","12/11/2019 16:12:03.627","US30","1.30 Lots","1.30 Indices","Buy","27745.9","0.00","0.00","27683.5","12/11/2019 20:15:11.040","-81.12","-62.4","-81.12","4 046.07","114"
"LONDON_1B1S","14/11/2019 17:48:39.659","US30","0.90 Lots","0.90 Indices","Sell","27685.0","0.00","0.00","27746.6","14/11/2019 18:38:02.769","-55.44","-61.6","-55.44","3 990.63","116"
"LONDON_1B1S","15/11/2019 16:15:22.135","US30","1.20 Lots","1.20 Indices","Buy","27890.0","0.00","0.00","27965.6","15/11/2019 21:55:00.115","90.72","75.6","90.72","4 081.35","120"
"RRL","15/11/2019 19:00:11.893","US30","0.60 Lots","0.60 Indices","Buy","27925.5","0.00","0.00","27965.6","15/11/2019 21:55:00.115","24.06","40.1","24.06","4 105.41","121"
"RRL","15/11/2019 19:05:00.870","US30","0.60 Lots","0.60 Indices","Buy","27924.0","0.00","0.00","27965.6","15/11/2019 21:55:00.115","24.96","41.6","24.96","4 130.37","122"
"RRL","18/11/2019 20:05:01.101","US30","0.60 Lots","0.60 Indices","Buy","28026.1","0.00","0.00","28024.1","18/11/2019 21:55:00.115","-1.20","-2","-1.20","4 129.17","124"
"LONDON_1B1S","21/11/2019 16:31:46.891","US30","1.00 Lots","1 Indices","Sell","27718.0","0.00","0.00","27780.1","21/11/2019 18:18:56.756","-62.10","-62.1","-62.10","4 067.07","126"
"RRL","22/11/2019 19:55:02.678","US30","0.60 Lots","0.60 Indices","Buy","27853.3","0.00","0.00","27855.9","22/11/2019 21:55:00.115","1.56","2.6","1.56","4 068.63","129"
"RRL","22/11/2019 20:00:00.424","US30","0.60 Lots","0.60 Indices","Buy","27866.3","0.00","0.00","27855.9","22/11/2019 21:55:00.115","-6.24","-10.4","-6.24","4 062.39","130"
"LONDON_1B1S","25/11/2019 15:42:04.023","US30","1.30 Lots","1.30 Indices","Buy","27976.0","0.00","0.00","28061.1","25/11/2019 21:55:00.115","110.63","85.1","110.63","4 173.02","132"
"LONDON_1B1S","26/11/2019 16:01:12.240","US30","1.30 Lots","1.30 Indices","Buy","28110.2","0.00","0.00","28137.3","26/11/2019 21:55:00.115","35.23","27.1","35.23","4 208.25","135"
"RRL","26/11/2019 19:20:01.606","US30","0.60 Lots","0.60 Indices","Buy","28103.2","0.00","0.00","28137.3","26/11/2019 21:55:00.115","20.46","34.1","20.46","4 228.71","136"
