raw_row_number_1based,trade_id,quality_flag,warning_count,error_count,warning_codes,error_codes
2,2,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
3,6,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
4,5,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
5,9,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
6,10,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
7,12,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
8,14,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
9,16,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
10,20,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
11,19,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
12,22,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
13,26,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
14,25,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
15,28,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
16,32,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
17,33,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
18,34,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
19,36,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
20,38,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
21,40,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
22,43,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
23,44,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
24,46,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
25,49,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
26,50,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
27,52,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
28,54,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
29,57,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
30,58,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
31,60,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
32,63,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
33,64,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
34,67,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
35,68,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
36,71,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
37,72,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
38,76,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
39,75,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
40,79,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
41,80,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
42,83,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
43,84,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
44,87,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
45,88,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
46,92,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
47,91,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
48,95,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
49,96,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
50,98,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
51,101,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
52,102,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
53,104,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
54,106,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
55,109,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
56,110,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
57,112,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
58,114,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
59,116,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
60,120,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
61,121,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
62,122,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
63,124,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
64,126,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
65,129,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
66,130,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
67,132,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
68,135,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
69,136,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
70,138,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
71,140,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
72,143,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
73,144,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
74,146,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
75,149,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
76,150,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
77,153,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
78,154,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
79,156,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
80,158,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
81,160,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
82,162,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
83,166,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
84,165,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
85,168,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
86,170,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
